Delta Range (%),Occurrences
"[0, 2)",102
"[2, 4)",155
"[4, 6)",179
"[6, 8)",163
"[8, 10)",120
"[10, 12)",101
"[12, 14)",78
"[14, 16)",40
"[16, 18)",34
"[18, 20)",16
"[20, 22)",19
"[22, 24)",21
"[24, 26)",25
"[26, 28)",31
"[28, 30)",28
"[30, 32)",41
"[32, 34)",30
"[34, 36)",27
"[36, 38)",8
"[38, 40)",18
"[40, 42)",8
"[42, 44)",9
"[44, 46)",2
