Switch #,Date,From,To,Signed premium %,Price_XST,Price_XQQ
1,2022-01-27,XST,XQQ,3.977,38.72,37.21
2,2024-06-19,XQQ,XST,-3.01,50.07,51.6
3,2024-07-17,XST,XQQ,4.7,53.57,51.11
4,2025-01-15,XQQ,XST,-3.627,52.52,54.46
5,2025-03-03,XST,XQQ,3.442,54.08,52.25
6,2025-09-16,XQQ,XST,-3.473,59.42,61.52
7,2025-11-20,XST,XQQ,3.505,63.0,60.83
8,2026-01-28,XQQ,XST,-4.047,61.5,64.04
9,2026-02-03,XST,XQQ,3.342,64.49,62.37
10,2026-04-16,XQQ,XST,-3.157,62.36,64.36
