Delta Range (%),Occurrences
"[0, 5)",339
"[5, 10)",380
"[10, 15)",205
"[15, 20)",64
"[20, 25)",51
"[25, 30)",73
"[30, 35)",88
"[35, 40)",36
"[40, 45)",19
