Window,Threshold,Real switches,Strategy return %,50_50 return %,Diff vs 50_50 (pp)
Last 2 years,3%,10,95.31320832865393,42.389389031310756,52.92381929734318
Last 2 years,5%,7,122.51847055959905,42.389389031310756,80.12908152828831
Last 5 years,3%,10,164.0561751188953,85.73714731482534,78.31902780406999
Last 5 years,5%,7,198.62005741144202,85.73714731482534,112.88291009661668
