Switch #,Date,From,To,Signed premium %,Price_XST,Price_XQQ
1,2024-07-17,XST,XQQ,4.7,53.57,51.11
2,2025-01-15,XQQ,XST,-3.627,52.52,54.46
3,2025-03-03,XST,XQQ,3.442,54.08,52.25
4,2025-09-16,XQQ,XST,-3.473,59.42,61.52
5,2025-11-20,XST,XQQ,3.505,63.0,60.83
6,2026-01-28,XQQ,XST,-4.047,61.5,64.04
7,2026-02-03,XST,XQQ,3.342,64.49,62.37
8,2026-04-16,XQQ,XST,-3.157,62.36,64.36
