Switch #,Date,From,To,Signed premium %,Price_XST,Price_XQQ
1,2024-07-25,XST,XQQ,11.819,54.66,48.56
2,2025-02-14,XQQ,XST,-7.021,52.77,56.61
3,2025-03-31,XST,XQQ,13.449,56.42,49.31
4,2025-10-06,XQQ,XST,-7.069,58.95,63.27
5,2026-02-23,XST,XQQ,12.877,69.1,60.74
6,2026-05-05,XQQ,XST,-7.075,63.67,68.34
